actual distance,mean distance,std distance,mean strenght,std strenght
0,11.05,0.22360679774997894,4274.8,15.561761502241403
10,18.0,0.0,10280.3,1413.3405035402366
20,30.0,0.0,5337.85,1295.5850649518602
30,40.75,0.4442616583193204,4916.15,56.27308882863804
40,64.3,0.5712405705774735,11154.4,1475.25785078941
50,68.2,1.005249379900069,2957.8,2119.177735274748
60,103.5,1.0513149660756869,5608.7,760.5471091675767
70,141.65,1.4964871146156107,3938.25,388.19431854081574
80,163.35,26.358410222805247,3853.2,2771.936271766875
90,110.5,1.2354415362426858,11495.2,2161.632803911749
100,134.05,2.5230516193063326,6150.15,1007.2725170896953
