timestamp,pan_angle,tilt_angle,target_x,target_y,movement_type
1743688585.3061028,-5.534523473412232,-4.241820049297735,610.5,179.0,PID
1743688585.4217815,-10.604115580208932,-7.492491413396349,596.5,201.5,PID
1743688585.4784808,-11.336566118998617,-8.931801371727694,513.0,219.5,PID
1743688585.538684,-13.2558615370985,-10.457133726773055,504.0,229.5,PID
1743688585.6230502,-13.909973857627996,-10.599137388516377,432.0,284.5,PID
1743688585.690288,-14.510010034683985,-10.496430800969813,404.0,314.0,PID
1743688585.7379403,-14.926587688241705,-10.769242998049544,389.0,318.0,PID
1743688585.8050225,-15.461229441234684,-12.792340410593757,377.0,278.0,PID
1743688585.8674357,-15.935119108432119,-13.777873296738386,369.5,280.5,PID
1743688585.9289382,-16.40954975272545,-14.839842770508323,366.5,278.0,PID
1743688585.9814267,-15.65994257782758,-11.42702650377805,320.0,400.0,PID
1743688586.049896,-17.472304461460627,-12.438180346434446,381.5,350.5,PID
1743688586.1028304,-17.997481149598457,-10.198007845712969,377.5,412.5,PID
1743688586.1559951,-16.760770310061954,-9.57640382877786,308.5,404.5,PID
1743688586.2082067,-16.330122011750436,-12.234495852582784,296.0,306.5,PID
1743688586.3162878,-18.219580374456594,-14.560094443842324,364.5,277.5,PID
1743688586.3751373,-16.526536644743725,-10.932012244889748,284.5,404.5,PID
1743688586.4327085,-15.945734192730935,-12.920160530741342,277.0,326.5,PID
1743688586.4808998,-15.77277694446567,-9.822255337420744,285.5,424.5,PID
1743688586.538526,-15.332617660265647,-9.533713417604895,283.0,401.0,PID
1743688586.5892496,-15.127334226990433,-8.871177773328052,288.5,400.0,PID
1743688586.6417646,-17.08916060794385,-12.462479048363008,375.0,277.0,PID
1743688586.6937122,-17.620668345098938,-13.372318898455942,374.0,277.5,PID
1743688586.7660866,-18.477397284721416,-14.647976470284743,378.5,276.0,PID
1743688586.8171716,-18.881963506490095,-11.601511701114347,371.0,389.0,PID
1743688586.871754,-17.48356887917842,-10.3334899823109,298.0,410.0,PID
1743688586.9199674,-16.49428865771164,-12.081509288004007,268.5,336.0,PID
1743688587.013606,-15.875427221069883,-10.092441485513067,277.0,385.0,PID
1743688587.064299,-15.40046391192834,-9.473179024410578,274.5,388.5,PID
1743688587.1122346,-17.035198485966465,-9.40177081178801,355.0,375.5,PID
1743688587.1589131,-17.844418628810097,-12.08693064758072,374.5,285.5,PID
1743688587.2188883,-18.549478633440593,-13.300017067710613,377.5,277.5,PID
1743688587.26452,-18.988851149385546,-14.057969647474971,375.5,278.0,PID
1743688587.3159297,-16.95295649968829,-14.34629143025895,277.0,295.5,PID
1743688587.37279,-16.066882669684723,-14.533081693595607,261.5,310.5,PID
1743688587.423182,-15.730366361039994,-11.3277547279794,270.0,416.5,PID
1743688587.4714327,-17.33099408702319,-10.524058612717976,351.0,415.5,PID
1743688587.550603,-15.683091432674665,-8.658351986574589,284.0,426.0,PID
1743688587.6129825,-17.823313831272916,-12.7502684829258,375.5,283.0,PID
1743688587.6612437,-18.34365999221135,-13.640640614043228,375.5,280.0,PID
1743688587.7123463,-18.6719432235717,-14.647873767435657,367.5,275.5,PID
1743688587.7629912,-16.60055024922841,-14.065955792667381,269.5,318.0,PID
1743688587.821103,-15.994786410290466,-11.066976511042323,268.5,410.5,PID
1743688587.8693583,-17.526599761859387,-10.18959858601559,347.5,414.0,PID
1743688587.9202776,-15.90234060053322,-8.86002262310824,275.5,426.0,PID
1743688588.025533,-18.44823264464193,-13.58778094508777,373.0,280.5,PID
1743688588.0771985,-18.708720921686346,-14.657133023198556,362.5,275.5,PID
1743688588.1255336,-19.12056071070501,-15.46501938107158,363.5,277.0,PID
1743688588.2836988,-17.02627205072524,-10.938318843517456,265.0,436.0,PID
1743688588.3527405,-16.35843719452431,-9.174563366163175,268.0,439.0,PID
1743688588.4565663,-18.775463027527344,-14.23133666105198,366.5,278.5,PID
1743688588.506222,-19.02244393635765,-15.13537961781267,360.0,275.5,PID
1743688588.5610414,-19.422409881951804,-16.113933039447204,359.0,276.5,PID
1743688588.657549,-16.72579046589754,-14.49452644054754,261.0,348.0,PID
1743688588.7105966,-15.977903450601737,-11.00989064164647,254.5,447.5,PID
1743688588.764891,-15.298809129007328,-9.562703540584433,255.5,447.5,PID
1743688588.8160725,-17.211105624207228,-8.76520016065485,353.5,433.0,PID
1743688588.8728645,-16.145265139977415,-9.317373004502503,301.5,382.5,PID
1743688588.9248297,-18.23039740898133,-12.406571020603463,388.5,280.0,PID
1743688588.983749,-18.46483410477461,-13.514346235060778,369.5,276.5,PID
1743688589.057553,-19.12642252147331,-14.699293531392085,370.0,277.5,PID
1743688589.1172843,-17.003587584487107,-11.159233924451456,273.0,401.5,PID
1743688589.176386,-18.619993531251662,-10.285192516782034,350.5,401.0,PID
1743688589.2297983,-16.99065092446606,-12.491354471087028,277.5,317.0,PID
1743688589.2897375,-17.040937053387395,-10.25910111230013,297.5,388.5,PID
1743688589.3424702,-18.596942114993247,-13.725528598964711,365.5,273.5,PID
1743688589.395239,-19.257285433340186,-14.612260016263285,374.5,274.5,PID
1743688589.4571433,-19.79796551703982,-15.859392231620674,371.0,271.5,PID
1743688589.512618,-18.573492788916738,-16.142464812514483,306.0,292.5,PID
1743688589.5583143,-18.22597818550086,-16.57212855697384,297.5,298.0,PID
1743688589.614248,-17.640931468300074,-16.872222360865607,285.0,308.0,PID
1743688589.6659846,-17.5857464794114,-13.858726783751209,296.5,408.5,PID
1743688589.7142777,-19.246845918518012,-13.199685217382909,370.5,405.0,PID
1743688589.7671328,-20.312231607685202,-12.212425927322599,392.5,410.5,PID
1743688589.8137496,-19.13849074433222,-14.940232803085124,321.0,306.5,PID
1743688589.8757386,-19.021621440854847,-16.439768467111662,317.0,281.5,PID
1743688589.9749267,-18.338453326334747,-17.464629743184364,300.0,294.0,PID
1743688590.0348809,-18.039499948915694,-18.210738278235453,298.0,294.5,PID
1743688590.225237,-19.748624697546685,-13.87103163958444,376.5,447.5,PID
1743688590.2774165,-19.992335500269597,-16.102871387523997,365.5,345.0,PID
1743688590.4430308,-19.178702245588152,-18.574261386422243,308.5,280.5,PID
1743688590.4915893,-19.05415509022347,-19.47184373359332,308.5,277.5,PID
1743688590.538826,-19.375186653284633,-16.58122562428458,326.0,387.5,PID
1743688590.6368513,-19.818787226082154,-17.079926868914058,336.5,354.0,PID
1743688590.7118876,-19.948973792642775,-18.743933172865937,334.0,309.0,PID
1743688590.765545,-19.79151658187145,-19.651609789722333,323.5,297.0,PID
1743688590.8141146,-19.81710018095481,-20.261863775355213,324.0,296.5,PID
1743688590.8723807,-19.905648781179323,-20.58686667105482,326.5,307.0,PID
1743688590.9785366,-20.261615649055827,-19.18064303119258,334.5,358.5,PID
1743688591.0333369,-20.528822944728162,-18.873363342097228,340.0,362.0,PID
1743688591.0847702,-20.71966121508375,-18.641167093512518,340.5,362.0,PID
1743688591.144847,-20.748387902885245,-19.17322689306519,334.0,340.5,PID
1743688591.1891494,-20.72169129867056,-19.218414702686523,329.0,340.5,PID
1743688591.2493627,-20.61670186826423,-19.518773959940184,322.5,334.0,PID
1743688591.3051908,-20.65823795340943,-19.688807544059888,324.0,333.5,PID
1743688591.372369,-20.82154195811864,-19.6995196628445,329.0,338.0,PID
1743688591.4259882,-20.930114900147476,-19.683422525724254,330.5,341.0,PID
1743688591.4807317,-21.052880174816345,-19.642755445431042,332.0,343.5,PID
1743688591.5336156,-21.12129628670956,-19.779080840662722,331.0,340.0,PID
1743688591.577629,-21.093059917992278,-19.911858882458926,327.0,337.5,PID
1743688591.6332328,-20.99159562680075,-20.272765883777023,321.5,330.0,PID
1743688591.6878736,-20.925215086581073,-20.567565330697885,319.5,327.5,PID
1743688591.739123,-20.858030086317473,-20.653764767814888,318.0,331.0,PID
1743688591.7873886,-20.850826069345352,-20.707039353501152,319.5,334.5,PID
1743688591.8497863,-20.89664108951222,-20.487290993344644,322.5,344.5,PID
1743688591.9035738,-20.9459821865572,-20.468075881554068,324.5,345.0,PID
1743688591.9676366,-20.850856042752813,-20.669422940536798,320.5,339.5,PID
1743688592.0206175,-20.74722265162394,-20.875695468229498,317.5,335.5,PID
1743688592.076094,-20.60931848818835,-21.214510331443453,314.5,329.5,PID
1743688592.2324657,-20.96291247658862,-19.878489099838383,332.0,373.0,PID
1743688592.3127444,-21.147334546430336,-19.22531116619046,333.5,374.5,PID
1743688592.425206,-20.790242352013173,-19.86523337970269,317.0,343.0,PID
1743688592.4854047,-20.53867072075424,-20.474894303636663,310.5,327.0,PID
1743688592.5480826,-20.403433736820052,-20.666818614231502,311.0,329.0,PID
1743688592.681564,-20.76175323145415,-19.633444992718193,330.0,363.0,PID
1743688592.7608814,-20.918743222354667,-19.288294426849987,332.0,362.5,PID
1743688592.8595471,-20.291716496917303,-20.198377592485887,309.5,333.0,PID
1743688592.912166,-20.056372929655723,-20.36439796885193,306.0,332.5,PID
1743688592.964044,-19.96559510607307,-20.337642836822997,309.0,337.5,PID
1743688593.0879216,-20.396860082304233,-19.682437425104183,331.0,356.5,PID
1743688593.1656392,-20.457928328933882,-19.49647684675256,329.5,355.0,PID
1743688593.333645,-20.022166815433092,-19.91845412143263,310.5,336.5,PID
1743688593.3924832,-19.982675916166254,-19.916597493053047,314.5,339.5,PID
1743688593.461711,-20.080443803481714,-19.656001684032983,322.0,348.0,PID
1743688593.534462,-20.040064306425638,-19.639061489652395,321.5,346.5,PID
1743688593.650409,-19.632301494991246,-19.915779434770684,310.5,338.5,PID
1743688593.7063777,-19.381465225562312,-20.095562216851377,306.5,335.5,PID
1743688593.8809783,-19.89631224873289,-19.694733257721733,336.5,351.5,PID
1743688593.9569156,-21.59828319079649,-17.467283002143056,386.0,402.0,PID
1743688594.0318124,-21.85401194167549,-16.883386648518172,366.0,389.5,PID
1743688594.0828257,-22.124605337545393,-16.237385141916768,360.5,390.5,PID
1743688594.1283448,-21.56308344647273,-16.978145564708022,325.5,352.0,PID
1743688594.1823134,-21.508946565112726,-16.698637345683217,323.0,356.5,PID
1743688594.252239,-21.71186185276842,-16.685189145560447,330.5,351.0,PID
1743688594.3105106,-21.889278349660362,-16.3705991720586,334.5,356.5,PID
1743688594.3631015,-21.965789620881573,-16.34985839583971,333.5,352.0,PID
1743688594.4163122,-21.964230410289012,-16.250759850722012,330.0,351.5,PID
