X,Y,Z,Distance,Pan,Tilt
2.3302536642783416,-1.0866151290967379,-3.064177772475912,4,-25,-50
140.7373062383275,-51.224190321558325,-178.48835524672188,233,-20,-50
123.55614544995429,-33.10676939321758,-152.44284418067662,199,-15,-50
118.37515543162445,-20.872733748153586,-143.2503108632489,187,-10,-50
114.62114796961464,-10.028051047668763,-137.12195531829707,179,-5,-50
109.91668125639823,0.0,-130.99359977334524,171,0,-50
106.29670705562029,9.299756837502875,-127.16337755775035,166,5,-50
103.18262211419672,18.193880218978794,-124.86524422839342,163,10,-50
100.583394788405,26.951239405533915,-124.09919978527444,162,15,-50
97.8516893159187,35.61510228365858,-124.09919978527444,162,20,-50
94.95783681934242,44.279566510692064,-124.86524422839342,163,25,-50
105.7413030392051,-49.307979390469775,-116.67261889578033,165,-25,-45
133.55706790212363,-48.61079729224303,-142.12846301849603,201,-20,-45
123.6252990424917,-33.1252990424917,-127.98632739476508,181,-15,-45
118.38192085440322,-20.873926674725382,-120.20815280171307,170,-10,-45
113.41098025084416,-9.922175091311317,-113.84419177103415,161,-5,-45
103.23759005323595,0.0,-103.23759005323593,146,0,-45
101.43590780199726,8.874492007135588,-101.82337649086284,144,5,-45
100.27645060608273,17.68144377153209,-101.82337649086284,144,10,-45
94.9387655630185,25.438765563018485,-98.2878425849301,139,15,-45
91.69589736563712,33.37457724542059,-97.58073580374355,138,20,-45
88.43818072369882,41.23940094475654,-97.58073580374355,138,25,-45
98.5866302501135,-45.97170067732317,-91.27584057548857,142,-25,-40
136.05095266426835,-49.51849711335375,-121.48685823075591,189,-20,-40
117.65079575932184,-31.524435712589238,-102.20322994015974,159,-15,-40
113.91538251705883,-20.08635545548284,-97.06092906266743,151,-10,-40
110.6537648469766,-9.680950000573853,-93.2042034045482,145,-5,-40
105.71413315041896,0.0,-88.70469013674241,138,0,-40
103.0224707195989,9.013298276396345,-86.7763273076828,135,5,-40
99.58165888908454,17.558933245852547,-84.84796447862318,132,10,-40
96.93241663189409,25.972962756913144,-84.20517686893665,131,15,-40
94.299866661477,34.32234456004942,-84.20517686893665,131,20,-40
91.64390980996467,42.73425696765253,-84.84796447862318,132,25,-40
99.48211945181794,-46.38927414987305,-76.85924247104018,134,-25,-35
129.31819006176963,-47.06797193166357,-96.36084130697574,168,-20,-35
132.92833935968562,-35.61804118263798,-96.36084130697574,168,-15,-35
111.32560520740063,-19.62970784176352,-79.15354821644435,138,-10,-35
109.34867974252892,-9.566769848998133,-76.85924247104018,134,-5,-35
109.7663739347249,0.0,-76.85924247104018,134,0,-35
102.82040035491525,8.995619410251978,-72.2706309802318,126,5,-35
100.03170322983824,17.63828820564258,-71.1234781075297,124,10,-35
97.32253417405553,26.077494437288518,-70.54990167117866,123,15,-35
94.67938915236704,34.46047944996796,-70.54990167117866,123,20,-35
92.0580806867569,42.927388019285516,-71.1234781075297,124,25,-35
98.11069590267448,-45.74976884633335,-62.49999999999999,125,-25,-30
25.227728121830587,-9.182142114506739,-15.499999999999998,31,-20,-30
23.422456504658626,-6.276028305176375,-13.999999999999998,28,-15,-30
23.027450362715967,-4.060360795871753,-13.499999999999998,27,-10,-30
73.33204283133979,-6.415722420939733,-42.49999999999999,85,-5,-30
107.3871500692704,0.0,-61.99999999999999,124,0,-30
105.25304971086416,9.208448651231146,-60.99999999999999,122,5,-30
101.49135530234075,17.8956642484718,-59.49999999999999,119,10,-30
98.70892384106135,26.44897642895758,-58.99999999999999,118,15,-30
96.02812639922611,34.95137966167081,-58.99999999999999,118,20,-30
93.40138249934611,43.55377994170935,-59.49999999999999,119,25,-30
97.74586277634909,-45.57964436557919,-50.29157314714323,119,-25,-25
101.34643801705845,-36.887086787113915,-50.29157314714323,119,-20,-25
25.387356843902197,-6.802521764284329,-12.255929590480283,29,-15,-25
24.09855125280381,-4.249224781855092,-11.410693066998885,27,-10,-25
45.14295061425867,-3.949496416858281,-21.130913087034973,50,-5,-25
102.41277993514144,0.0,-47.755863576699035,113,0,-25
105.6345044373653,9.241821615448378,-49.446336623661836,117,5,-25
102.64197755823845,18.098549996790204,-48.60110010018044,115,10,-25
99.79857517947761,26.74094762511771,-48.17848183843974,114,15,-25
97.08818431886272,35.33720919101669,-48.17848183843974,114,20,-25
93.63889375213274,43.66453325778175,-48.17848183843974,114,25,-25
98.791485798141,-46.06722638818393,-39.67433662577757,116,-25,-20
28.25671108990365,-10.28460175498463,-10.944644586421399,32,-20,-20
25.414854393330323,-6.80988971044743,-9.576564013118723,28,-15,-20
24.060831038356408,-4.242573690329905,-8.892523726467386,26,-10,-20
23.40292016657148,-2.0474902079772335,-8.550503583141717,25,-5,-20
89.2707989746613,0.0,-32.49191361593853,95,0,-20
86.12274621298305,7.534763965356219,-31.46585318596152,92,5,-20
102.72124020221389,18.112526139485364,-37.964235909149224,111,10,-20
99.84407083094055,26.753138148186334,-37.62221576582356,110,15,-20
97.1324443715438,35.353318532759666,-37.62221576582356,110,20,-20
94.53323209994527,44.08157007834842,-37.964235909149224,111,25,-20
97.17229688528083,-45.312186198117566,-28.728914006379803,111,-25,-15
29.0455478780918,-10.571714865579269,-8.282209443280664,32,-20,-15
26.124355652982143,-6.999999999999999,-7.246933262870581,28,-15,-15
25.68378354923334,-4.528744006406057,-6.98811421776806,27,-10,-15
24.056254672476456,-2.1046495707342294,-6.4704761275630185,25,-5,-15
85.001472713438,0.0,-22.776075969021825,88,0,-15
84.67801644711712,7.408366488984488,-22.776075969021825,88,5,-15
78.95385313282841,13.921694538211213,-21.481980743509222,83,10,-15
100.7653718043597,27.0,-27.95245687107224,108,15,-15
98.02872408855983,35.67953767133003,-27.95245687107224,108,20,-15
