X,Y,Z,Distance,Pan,Tilt
3.2855752193730785,-1.532088886237956,-1.6904730469627978,4,-25.0,-25.0
19.79291965673226,-9.020153161219882,-10.142838281776786,24,-24.5,-25.0
10.76339370695484,-4.792171629605675,-5.494037402629092,13,-24.0,-25.0
10.804802925743417,-4.698062021127338,-5.494037402629092,13,-23.5,-25.0
10.845389316956702,-4.603594637036807,-5.494037402629092,13,-23.0,-25.0
11.722469004382626,-4.855605646113516,-5.9166556643697925,14,-22.5,-25.0
10.924081316310971,-4.413615344945473,-5.494037402629092,13,-22.0,-25.0
11.805425618809346,-4.650280820342015,-5.9166556643697925,14,-21.5,-25.0
11.84555694503175,-4.547083286161681,-5.9166556643697925,14,-21.0,-25.0
12.73369948524734,-4.760935150697525,-6.339273926110492,15,-20.5,-25.0
11.92311035494805,-4.339657269072225,-5.9166556643697925,14,-20.0,-25.0
11.960526532649522,-4.235444582457387,-5.9166556643697925,14,-19.5,-25.0
11.99703186994847,-4.130909350339407,-5.9166556643697925,14,-19.0,-25.0
12.892096700166563,-4.313635214443854,-6.339273926110492,15,-18.5,-25.0
12.067298972823446,-3.9209031166014565,-5.9166556643697925,14,-18.0,-25.0
12.101055387287541,-3.8154481077692606,-5.9166556643697925,14,-17.5,-25.0
12.13389025953275,-3.7097025377915496,-5.9166556643697925,14,-17.0,-25.0
12.165801089056432,-3.603674459602888,-5.9166556643697925,14,-16.5,-25.0
13.067984406134324,-3.7471842296270728,-6.339273926110492,15,-16.0,-25.0
12.226840969960834,-3.3908030972865415,-5.9166556643697925,14,-15.5,-25.0
13.131391470983896,-3.5185457401470672,-6.339273926110492,15,-15.0,-25.0
15.79391541856507,-4.084584253070549,-7.60712871133259,18,-14.5,-25.0
15.828958304141713,-3.946602561059634,-7.60712871133259,18,-14.0,-25.0
39.65698938314797,-9.5208007999595,-19.017821778331474,45,-13.5,-25.0
39.73856297266187,-9.174370151427725,-19.017821778331474,45,-13.0,-25.0
43.35640901157363,-9.611884469230136,-20.708294825294274,49,-12.5,-25.0
44.3251393708132,-9.421599220204582,-21.130913087034973,50,-12.0,-25.0
43.5175561348649,-8.853746860938179,-20.708294825294274,49,-11.5,-25.0
43.59316165594812,-8.473652238973733,-20.708294825294274,49,-11.0,-25.0
43.665447388993464,-8.09291231558421,-20.708294825294274,49,-10.5,-25.0
43.73440782916247,-7.71155608558887,-20.708294825294274,49,-10.0,-25.0
43.80003772485065,-7.329612590741111,-20.708294825294274,49,-9.5,-25.0
43.862332078087334,-6.9471109175168175,-20.708294825294274,49,-9.0,-25.0
43.92128614491635,-6.564080194899321,-20.708294825294274,49,-8.5,-25.0
43.07940777380303,-6.054415927014968,-20.285676563553572,48,-8.0,-25.0
43.1306015174667,-5.678251412221216,-20.285676563553572,48,-7.5,-25.0
43.178510698837904,-5.301654476598181,-20.285676563553572,48,-7.0,-25.0
43.22313166944699,-4.924653799460561,-20.285676563553572,48,-6.5,-25.0
43.26446103123429,-4.547278090869541,-20.285676563553572,48,-6.0,-25.0
43.3024956368089,-4.169556089446397,-20.285676563553572,48,-5.5,-25.0
43.33723258968833,-3.79151656018395,-20.285676563553572,48,-5.0,-25.0
43.36866924451913,-3.4131882922559913,-20.285676563553572,48,-4.5,-25.0
43.39680320727834,-3.034600096824882,-20.285676563553572,48,-4.0,-25.0
42.51701499513376,-2.600452038079812,-19.863058301812874,47,-3.5,-25.0
43.44315473821714,-2.2767592648794897,-20.285676563553572,48,-3.0,-25.0
42.555923593703454,-1.8580317504436878,-19.863058301812874,47,-2.5,-25.0
42.570517374558996,-1.4865952243814162,-19.863058301812874,47,-2.0,-25.0
42.581869245698,-1.115045488337221,-19.863058301812874,47,-1.5,-25.0
42.58997834263155,-0.7434108372620144,-19.863058301812874,47,-1.0,-25.0
42.594844047820494,-0.3717195725733184,-19.863058301812874,47,-0.5,-25.0
42.59646599072255,0.0,-19.863058301812874,47,0.0,-25.0
42.594844047820494,0.3717195725733184,-19.863058301812874,47,0.5,-25.0
42.58997834263155,0.7434108372620144,-19.863058301812874,47,1.0,-25.0
42.581869245698,1.115045488337221,-19.863058301812874,47,1.5,-25.0
42.570517374558996,1.4865952243814162,-19.863058301812874,47,2.0,-25.0
42.555923593703454,1.8580317504436878,-19.863058301812874,47,2.5,-25.0
42.53808901450429,2.2293267801945005,-19.863058301812874,47,3.0,-25.0
42.51701499513376,2.600452038079812,-19.863058301812874,47,3.5,-25.0
42.492703140460044,2.9713792614743637,-19.863058301812874,47,4.0,-25.0
42.46515530192499,3.342080202833992,-19.863058301812874,47,4.5,-25.0
42.43437357740316,3.7125266318467847,-19.863058301812874,47,5.0,-25.0
42.40036031104205,4.082690337582931,-19.863058301812874,47,5.5,-25.0
42.363118093083585,4.452543130643092,-19.863058301812874,47,6.0,-25.0
42.32264975966685,4.822056845305133,-19.863058301812874,47,6.5,-25.0
42.27895839261212,5.191203341669052,-19.863058301812874,47,7.0,-25.0
42.232047319186144,5.559954507799941,-19.863058301812874,47,7.5,-25.0
42.181920111848804,5.928282261868823,-19.863058301812874,47,8.0,-25.0
42.12858058798099,6.296158554291186,-19.863058301812874,47,8.5,-25.0
42.07203280959398,6.66355536986307,-19.863058301812874,47,9.0,-25.0
42.012281083020014,7.030444729894535,-19.863058301812874,47,9.5,-25.0
41.949329958584414,7.396798694340345,-19.863058301812874,47,10.0,-25.0
41.88318423025904,7.762589363927712,-19.863058301812874,47,10.5,-25.0
41.81384893529718,8.127788882280926,-19.863058301812874,47,11.0,-25.0
41.741329353850006,8.492369438042743,-19.863058301812874,47,11.5,-25.0
41.66563100856441,8.856303266992308,-19.863058301812874,47,12.0,-25.0
42.471584337868045,9.415723561694826,-20.285676563553572,48,12.5,-25.0
42.38780050417266,9.785994828189574,-20.285676563553572,48,13.0,-25.0
42.300788675357836,10.155520853290135,-20.285676563553572,48,13.5,-25.0
42.21055547771123,10.524273496159022,-20.285676563553572,48,14.0,-25.0
42.117107782840186,10.892224674854797,-20.285676563553572,48,14.5,-25.0
42.020452707148465,11.259346368470613,-20.285676563553572,48,15.0,-25.0
41.92059761129429,11.625610619268143,-20.285676563553572,48,15.5,-25.0
41.817550099629834,11.990989534806632,-20.285676563553572,48,16.0,-25.0
41.711318019622055,12.355455290067045,-20.285676563553572,48,16.5,-25.0
41.60190946125515,12.718980129571028,-20.285676563553572,48,17.0,-25.0
41.48933275641443,13.081536369494607,-20.285676563553572,48,17.5,-25.0
42.235546404882065,13.723160908105099,-20.708294825294274,49,18.0,-25.0
42.11418255387744,14.091208367183258,-20.708294825294274,49,18.5,-25.0
41.98961154481965,14.458182726187925,-20.708294825294274,49,19.0,-25.0
41.86184286427333,14.824056038600858,-20.708294825294274,49,19.5,-25.0
41.730886242318185,15.188800441752788,-20.708294825294274,49,20.0,-25.0
41.59675165180798,15.552388158945247,-20.708294825294274,49,20.5,-25.0
41.45944930761113,15.914791501565883,-20.708294825294274,49,21.0,-25.0
42.16223435289052,16.60814578693577,-21.130913087034973,50,21.5,-25.0
42.01569737042681,16.975443634405664,-21.130913087034973,50,22.0,-25.0
41.865960729937946,17.3414487361197,-21.130913087034973,50,22.5,-25.0
41.713035834448846,17.70613321937233,-21.130913087034973,50,23.0,-25.0
42.388073016378016,18.43085869826879,-21.55353134877567,51,23.5,-25.0
42.22562146574591,18.800057931529956,-21.55353134877567,51,24.0,-25.0
42.05995427055605,19.16782546759225,-21.55353134877567,51,24.5,-25.0
41.89108404700675,19.534133299533938,-21.55353134877567,51,25.0,-25.0
42.05995427055605,-19.612878778009325,-21.14935537546819,51,-25.0,-24.5
43.05753475375319,-19.62244908579207,-21.564048618124428,52,-24.5,-24.5
11.638073798959361,-5.181604297034397,-5.805705397187347,14,-24.0,-24.5
10.84835895984912,-4.717000723760719,-5.391012154531107,13,-23.5,-24.5
10.889108961842913,-4.622152525264631,-5.391012154531107,13,-23.0,-24.5
10.929029716030362,-4.526952331958352,-5.391012154531107,13,-22.5,-24.5
10.968118182291477,-4.431407393705185,-5.391012154531107,13,-22.0,-24.5
11.006371383888213,-4.335524986622097,-5.391012154531107,13,-21.5,-24.5
11.043786407691165,-4.23931241252561,-5.391012154531107,13,-21.0,-24.5
11.932695820124602,-4.461452152096955,-5.805705397187347,14,-20.5,-24.5
11.971174480211166,-4.357151180004041,-5.805705397187347,14,-20.0,-24.5
12.008741489012777,-4.252518393979373,-5.805705397187347,14,-19.5,-24.5
12.045393985656265,-4.1475617622147105,-5.805705397187347,14,-19.0,-24.5
12.081129178912107,-4.042289277563915,-5.805705397187347,14,-18.5,-24.5
12.11594434740698,-3.9367089569342744,-5.805705397187347,14,-18.0,-24.5
12.149836839831014,-3.830828840675975,-5.805705397187347,14,-17.5,-24.5
12.182804075139687,-3.724656991969802,-5.805705397187347,14,-17.0,-24.5
12.214843542750396,-3.6182014962130933,-5.805705397187347,14,-16.5,-24.5
12.245952802733635,-3.511470460404011,-5.805705397187347,14,-16.0,-24.5
12.27612948599881,-3.4044720125241588,-5.805705397187347,14,-15.5,-24.5
13.184326386937135,-3.5327296081281467,-6.2203986398435855,15,-15.0,-24.5
14.09562971575343,-3.645377707063257,-6.635091882499824,16,-14.5,-24.5
17.658630644163686,-4.402791111454722,-8.29386485312478,20,-14.0,-24.5
16.811560402016667,-4.036098559516578,-7.879171610468542,19,-13.5,-24.5
40.7853950329775,-9.41605037560504,-19.075889162186996,46,-13.0,-24.5
42.64279465874636,-9.453679976022935,-19.905275647499472,48,-12.5,-24.5
43.61374525956019,-9.270387733924341,-20.319968890155714,49,-12.0,-24.5
43.69298294942447,-8.889437849740899,-20.319968890155714,49,-11.5,-24.5
43.768893249472896,-8.50781100044834,-20.319968890155714,49,-11.0,-24.5
43.84147037884221,-8.12553624840877,-20.319968890155714,49,-10.5,-24.5
43.014571896002955,-7.584629588889393,-19.905275647499472,48,-10.0,-24.5
43.079121572258636,-7.208972600837425,-19.905275647499472,48,-9.5,-24.5
43.140390606618986,-6.83276662161123,-19.905275647499472,48,-9.0,-24.5
43.19837433320983,-6.45604030075267,-19.905275647499472,48,-8.5,-24.5
43.25306833634589,-6.078822327429628,-19.905275647499472,48,-8.0,-24.5
43.30446845086707,-5.701141428251236,-19.905275647499472,48,-7.5,-24.5
43.352570762455656,-5.323026365080217,-19.905275647499472,48,-7.0,-24.5
43.397371607934375,-4.944505932842563,-19.905275647499472,48,-6.5,-24.5
42.53389116772154,-4.470492104056883,-19.490582404843234,47,-6.0,-24.5
42.57128351551826,-4.0991483702568186,-19.490582404843234,47,-5.5,-24.5
42.60543389525384,-3.7274924704378605,-19.490582404843234,47,-5.0,-24.5
42.63633970624465,-3.355552707635705,-19.490582404843234,47,-4.5,-24.5
42.663998594893535,-2.9833574065033126,-19.490582404843234,47,-4.0,-24.5
42.68840845486903,-2.610934911153877,-19.490582404843234,47,-3.5,-24.5
42.70956742726579,-2.2383135830023115,-19.490582404843234,47,-3.0,-24.5
42.727473900746155,-1.865521798605417,-19.490582404843234,47,-2.5,-24.5
42.74212651166283,-1.4925879475008972,-19.490582404843234,47,-2.0,-24.5
42.753524144162775,-1.1195404300453862,-19.490582404843234,47,-1.5,-24.5
42.761665930272144,-0.7464076552516501,-19.490582404843234,47,-1.0,-24.5
41.85662462762277,-0.36527722929268225,-19.075889162186996,46,-0.5,-24.5
41.85821846032099,0.0,-19.075889162186996,46,0.0,-24.5
41.85662462762277,0.36527722929268225,-19.075889162186996,46,0.5,-24.5
